date,time,caller,occ,caller_price,ask_at_touch,over_pct,old_pl,new_90s,new_120s,new_180s,new_300s,trend30,move30_pct,move_since_open_pct,touch_from_log
2026-08-18,10:14:00,TradingTheTrend,SPY260825P00760000,1.88,1.86,-1.1,-19.0,-19.0,-19.0,-19.0,-19.0,FLAT,-0.14,-0.11,0
2026-08-18,10:37:00,Unraveller,MSFT260821C00485000,3.3,3.3,0.0,-36.0,-36.0,-36.0,-36.0,-36.0,FLAT,-0.08,-0.16,1
2026-08-18,15:48:00,TradingTheTrend,TSLA260918P00300000,3.25,3.25,0.0,-5.0,-5.0,-5.0,-5.0,-5.0,FLAT,0.15,1.04,1
2026-08-19,09:41:00,Vero,QQQ260819P00716000,1.42,1.32,-7.0,-13.0,-13.0,-13.0,-13.0,-13.0,,,,1
2026-08-19,11:21:00,Bullwinkle,TSLA260821C00352500,7.36,2.97,-59.6,8.0,8.0,8.0,8.0,8.0,WITH,0.22,2.53,1
2026-08-20,09:35:00,MR.TOPHAT (OPTIONS/FUTURES),SPY260820C00766000,2.31,2.02,-12.6,0.0,0.0,0.0,0.0,0.0,,,,1
2026-08-20,09:55:00,Vero,QQQ260820P00710000,1.22,1.09,-10.7,-13.0,-13.0,-13.0,-13.0,-13.0,,,,1
2026-08-20,09:58:00,Demon Alerts,QQQ260820P00708000,0.9,0.87,-3.3,-9.0,-9.0,-9.0,-9.0,-9.0,,,,1
2026-08-24,09:44:00,Bullwinkle,NVDA260828C00207500,4.4,7.8,77.3,-60.0,,,,,,,,1
2026-08-24,10:59:00,Demon Alerts,TSLA260824C00357500,3.65,2.17,-40.5,-24.0,-24.0,-24.0,-24.0,-24.0,WITH,1.04,-1.21,1
2026-08-26,09:36:00,Unraveller,SPY260827P00766000,3.18,3.13,-1.6,-31.0,-31.0,-31.0,-31.0,-31.0,,,,1
2026-09-02,11:15:00,Mike,AMZN260904P00255000,2.38,2.35,-1.3,-23.0,-23.0,-23.0,-23.0,-23.0,FLAT,-0.06,0.26,1
2026-09-02,11:43:00,Midas (Admin),SPY260903C00766000,2.26,1.77,-21.7,11.0,11.0,11.0,11.0,11.0,FLAT,0.05,0.45,0
2026-09-08,09:36:08,Mike,AMD260911C00510000,6.0,6.05,0.8,-5.0,,,,-60.0,,,,1
2026-09-08,09:54:33,@Owner Alerts,QQQ260908P00717000,1.78,1.61,-9.6,-18.0,-18.0,-18.0,-18.0,-18.0,,,,1
2026-09-08,10:03:38,Platinum nitro,QQQ260908P00717000,1.72,1.68,-2.3,-17.0,-17.0,-17.0,-17.0,-17.0,WITH,-0.34,-0.54,1
2026-09-08,10:07:04,@Owner Alerts,TSLA260911C00372500,1.5,3.25,116.7,-36.0,,,,,FLAT,-0.04,1.38,1
2026-09-08,10:15:47,Vero,QQQ260908P00716000,1.35,1.07,-20.7,0.0,0.0,0.0,0.0,0.0,FLAT,-0.06,-0.53,1
2026-09-08,10:25:17,Brett,AMD260909C00515000,1.86,1.79,-3.8,16.0,16.0,16.0,16.0,16.0,WITH,0.95,1.78,1
2026-09-08,10:35:01,Vero,SPY260908P00767000,1.2,0.97,-19.2,0.0,0.0,0.0,0.0,0.0,FLAT,0.01,-0.30,1
2026-09-09,10:59:44,👑KingBeeAri🐝,META260909C00655000,4.4,4.2,-4.5,-40.0,-40.0,-40.0,-40.0,-40.0,,,,1
2026-09-09,11:03:39,Vero,SPY260909P00764000,1.27,1.58,24.4,-3.0,,,,,FLAT,-0.07,-0.14,1
2026-09-10,09:34:29,Midas (Admin),SPY260910C00758000,1.48,1.63,10.1,-17.0,14.0,14.0,14.0,14.0,,,,1
2026-09-10,09:44:46,Unraveller,META260911P00645000,5.15,5.55,7.8,220.0,,,,,,,,1
2026-09-10,10:05:34,Eva,META260911C00675000,1.12,0.99,-11.6,-10.0,-10.0,-10.0,-10.0,-10.0,COUNTER,-1.89,-1.17,1
2026-09-10,12:25:22,eli,SPY260910C00761000,0.17,0.15,-11.8,-2.0,-2.0,-2.0,-2.0,-2.0,FLAT,-0.06,-0.01,1
2026-09-14,10:36:59,Demon × LKS,QQQ260914P00704000,1.0,1.07,7.0,-11.0,0.0,0.0,0.0,0.0,WITH,-0.31,0.22,1
2026-09-14,10:42:25,Vero,QQQ260914P00705000,1.55,1.4,-9.7,-2.0,-2.0,-2.0,-2.0,-2.0,WITH,-0.35,0.25,0
2026-09-14,12:02:53,MuggZone,TSLA260925P00340000,2.4,2.42,0.8,63.0,65.0,65.0,65.0,65.0,COUNTER,0.79,1.30,1
2026-09-14,14:05:06,👑KingBeeAri🐝,META260918C00700000,2.68,2.64,-1.5,-28.0,-28.0,-28.0,-28.0,-28.0,,,,1
2026-09-14,14:22:29,Skyy,QQQ260914C00713000,0.4,0.23,-42.5,-2.0,-2.0,-2.0,-2.0,-2.0,FLAT,-0.10,1.23,0
2026-09-15,09:47:28,Demon × LKS,META260916C00690000,1.9,1.92,1.1,-19.0,-2.0,-2.0,-2.0,-2.0,,,,1
2026-09-15,09:53:33,Nitro Trades,TSLA260916C00370000,1.51,1.35,-10.6,-18.0,-18.0,-18.0,-18.0,-18.0,,,,1
2026-09-15,11:03:22,Demon × LKS,QQQ260915P00703000,0.7,0.63,-10.0,-6.0,-6.0,-6.0,-6.0,-6.0,WITH,-0.23,-0.49,0
2026-09-15,11:33:14,Unraveller,AMD260918P00490000,5.3,5.45,2.8,0.0,0.0,0.0,0.0,0.0,,,,1
2026-09-15,13:36:34,Mike (Admin),TSLA260918P00350000,3.6,4.0,11.1,-40.0,,,-35.0,-35.0,,,,1
2026-09-16,09:39:16,Unraveller,TSLA260918P00355000,4.96,4.55,-8.3,-45.0,-45.0,-45.0,-45.0,-45.0,,,,1
2026-09-16,09:40:08,Mike,TSLA260918P00350000,3.0,2.72,-9.3,-27.0,-27.0,-27.0,-27.0,-27.0,,,,1
